L: Yes.	B-OO
T: Oh.	O
L: Ok it needs to go further.	B-DO
S: Okay.	B-OO
F: Just a tiny bit though.	B-DO
S: Put it back to it's orig-	B-A
L: Hold on.	B-OO
S: Or we could just like take that of, or we could just like scooch that down so it only catching on that thing, so...	B-A
L: Yeah	B-OO
T: Well if it kept going...	O
F: L- Lyn	O
L: Yeah it needs to go further.	B-DO
F: Lets start it here I think we had it scooched in a little bit too, so lets just start it at the edge this time.	B-A
S: Remember when it caught on the edge of the frame.	B-DO
L: Yeah we switched it since, that’s why.	I-DO
S: Well you could just remove those extra little bits that it caught on.	B-D
F: Oh whoops, what did it do?	B-NSTO
L: Huh	I-NSTO
F: That was weird.	I-NSTO
L: Okay try placing it here.	B-A
S: I think we could just remove those guys um and put it back to the place when it was catching on the frame, because those guys were really what got caught.	B-D
S: It needs to go further.	B-DO
F: Why’s it suddenly, that’s weird.	B-NSTO
L: Where are you placing (?)	B-A
S: I think you have it closer right here.	I-A
T: (Move it towards the edge)	O
F: Move it towards the edge maybe.	B-A
T: Worth a try.	O
F: Yeah.	B-OO
L: Okay it just needs to go further.	B-DO
T: That’s brilliant.	B-OO
F: Yay it’s working.	B-NSTO
T: And you had the wheel right on...	O
F: On, the black yeah. Yay.	B-A
L: Okay so one more...	B-OO
S: Wait wait wait Lyn I need to see something come back.	I-OO
L: Because what?	I-OO
S: (?) how far will it need to go past here? Because it needs a loop round this.	B-DO
L: I think it needs two more.	B-ATV
L: Yeah I was looking at that before, I think it needs two more.	I-ATV
F: Sarah you should do some of the programing because I feel like it's me and Lyn doing a lot of it and you’re getting bored so.	B-OO
S: Okay.	I-OO
F: You should probably do some stuff.	I-OO
S: How does half this stuff work.	I-OO
L: Okay so (?)	B-OO
F: I’ll sit here I guess	I-OO
F: Alright so you probably wanna drag, see how the revolutions is set to two there,	B-ATV
S: Hm mm	B-OO
F: Double click on that?	I-OO
L: No	I-OO
F: No that’s the wrong clicker. Yeah.	I-OO
L: Yeah.	I-OO
F: And then...	I-OO
L: We get (?)	I-OO
F: ...delete it, it's the backspace on here.	B-QS
L: Wait, no make it four or three point five.	B-ATV
S: Is that a three point five?	I-ATV
F: Yeah.	B-OO
S: And then next one?	I-OO
F: Yeah sure.	I-OO
L: Then the next one is a turn.	B-ATO
F: So you only want to do that one.	I-ATO
L: Yeah.	B-OO
S: (?) (to load?)	I-OO
L: Yeah. And you want it to be a C.	I-OO
F: Yeah.	I-OO
L: Port C. And um one is correct, so you just leave that, okay and then the next one is two.	B-ATV
F: And move tank yeah.	B-ATO
L: Yeah move tank to two.	B-ATV
F: Make sure you’re...	B-OO
L: Yeah.	I-OO
S: (?)	I-OO
L: (?). Yeah. Yeah, watch where the one is.	B-ATV
S: What do you want me to do?	B-OO
L: Two.	B-ATV
S: Any good?	B-OO
L: Huh, huh	I-OO
S: Right the next one,	I-OO
F: You wanna try it? Lets make it, lets do a test.	I-OO
L: Okay. So, so that (?).	I-OO
F: ... is the download button.	B-QS
L: Oh yeah.	B-OO
F: Oh it's not plugged in.	B-QS
L: No it is, yeah. Just click it together, you don’t keep it down just. Yeah. Okay. Right.	I-QS
F: Alright so we need to make sure that this is...	B-OO
L: Yeah, well (?).	I-OO
F: (Over) there	I-OO
L: Let me try (?)	I-OO
F: Okay.	I-OO
L: Okay yeah.	I-OO
F: Oh...	I-OO
L: No it was at different spot, it wa- I think it was further back.	B-A
F: Yeah.	B-OO
L: Or more to the side of something.	B-A
T: (?) (could count on the little mark).	O
F: Yeah I'm setting it back to one tick mark kind of and (?) the side.  It's not gonna work.	B-A
L: Okay	B-NSTO
S: It was working before though.	I-NSTO
F: Yeah maybe just need to make it go a little further before it turns, I think that might just be the solution	B-DO
S: Well it, it worked before so where were you do you think?	B-NSTO
L: Maybe it was like more kind of like...	B-OO
S: (?).	I-OO
L: No.	I-OO
F: No	I-OO
S: What happened it isn’t going as far as it was?	B-DO
F: Alright, we can also just change the programming instead of figuring out where exactly the (?).	B-A
S: Yeah lets have it go farther.	B-DO
S: Wait, wait, wait you need to see which one it was again.	I-DO
